TeamName,Season,TeamID,FirstD1Season,LastD1Season,Seed,rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed
Wisconsin,2007,1458,1985,2021,Y02,8,Wisconsin,B10,30-6,25.45,115.6,25,90.1,8,63.8,243,0.034,91,7.78,47,108.1,55,100.3,35,-1.57,184,2
Memphis,2007,1272,1985,2021,X02,9,Memphis,CUSA,33-4,24.81,115.4,28,90.6,10,68.4,68,0.03,104,2.93,106,105.3,130,102.4,97,3.41,76,2
Duke,2007,1181,1985,2021,Z06,10,Duke,ACC,22-11,23.3,113.2,44,89.9,6,64.5,218,-0.074,314,11.3,3,110.7,4,99.4,6,3.88,68,6
Pittsburgh,2007,1338,1985,2021,Z03,11,Pittsburgh,BE,29-8,22.9,118.1,10,95.2,33,62.2,298,0.033,93,9.54,22,109.6,19,100.1,25,0.72,137,3
Maryland,2007,1268,1985,2021,Y04,12,Maryland,ACC,25-9,22.42,112.4,53,90,7,71.4,17,-0.027,247,8.48,36,108.9,38,100.4,40,-3.07,231,4
Kentucky,2007,1246,1985,2021,Z08,13,Kentucky,SEC,22-12,21.73,117,15,95.3,34,65.8,165,-0.029,254,13.23,1,111,2,97.8,1,8.21,25,8
Indiana,2007,1231,1985,2021,Z07,14,Indiana,B10,21-11,21.58,115.4,26,93.8,23,64.9,203,-0.058,298,9.96,14,108.5,43,98.5,3,1.51,111,7
Butler,2007,1139,1985,2021,Y05,15,Butler,Horz,29-7,21.45,118,11,96.5,47,58.1,331,0.016,145,4.77,85,106.6,94,101.8,79,6.61,35,5
S Illinois,2007,1356,1985,2021,Z04,16,Southern Illinois,MVC,29-7,21.03,109.8,84,88.8,3,61,312,0.017,138,10.19,12,110.2,11,100,22,7.3,30,4
Michigan St,2007,1277,1985,2021,W09,17,Michigan St.,B10,23-12,20.97,112.8,49,91.8,12,60.3,319,-0.036,265,9.07,28,109.2,27,100.2,28,-1.63,188,9
Oregon,2007,1332,1985,2021,Y03,18,Oregon,P10,29-8,20.76,118.3,8,97.6,54,66,158,0.031,100,7.19,55,108,59,100.8,53,-9.09,322,3
Louisville,2007,1257,1985,2021,X06,19,Louisville,BE,24-10,20.35,113.5,40,93.1,18,64.2,229,-0.046,277,7.29,53,107.9,61,100.6,48,-3.61,244,6
Villanova,2007,1437,1985,2021,Z09,21,Villanova,BE,22-11,20.11,113.4,42,93.3,19,65.8,168,-0.036,266,11.02,5,110.5,7,99.5,9,2.82,86,9
Notre Dame,2007,1323,1985,2021,Y06,22,Notre Dame,BE,24-8,20.02,118.1,9,98.1,62,70.7,28,-0.018,223,4.03,92,105.9,107,101.9,85,-13.12,335,6
Georgia Tech,2007,1210,1985,2021,Y10,23,Georgia Tech,ACC,20-12,19.61,116.9,16,97.3,51,67.2,106,-0.067,309,9.63,21,109.5,21,99.9,19,-3.11,232,10
Arizona,2007,1112,1985,2021,Y08,24,Arizona,P10,20-11,19.43,119.5,5,100.1,90,68.3,73,-0.009,203,12.2,2,110.4,8,98.2,2,10.23,14,8
Texas,2007,1400,1985,2021,W04,25,Texas,B12,25-10,19.24,119.5,6,100.3,92,67.6,90,-0.008,197,7.56,51,108.1,53,100.6,47,-2,205,4
Washington St,2007,1450,1985,2021,W03,27,Washington St.,P10,26-8,18.87,111.7,64,92.8,16,60,322,0.004,170,6.79,61,107.6,64,100.9,55,-4.96,279,3
Creighton,2007,1166,1985,2021,X10,28,Creighton,MVC,22-11,18.53,113.8,36,95.3,35,62.7,289,-0.023,236,8.84,32,108.3,49,99.4,8,4.1,66,10
Purdue,2007,1345,1985,2021,Y09,30,Purdue,B10,22-12,18.31,110.7,74,92.4,15,66.5,131,0.002,175,9.37,25,109.8,15,100.4,41,1.08,128,9
Tennessee,2007,1397,1985,2021,X05,31,Tennessee,SEC,24-11,18.29,115.9,22,97.6,55,71.3,19,0.035,88,10.57,7,110.3,9,99.8,17,1.81,105,5
Xavier,2007,1462,1985,2021,X09,32,Xavier,A10,25-9,18.13,117.3,12,99.2,78,66.2,151,-0.047,280,2.83,108,106.5,96,103.6,126,3.4,77,9
Illinois,2007,1228,1985,2021,Z12,36,Illinois,B10,23-12,17.5,107.3,116,89.8,5,62,300,-0.017,220,8.06,41,108.4,44,100.4,39,-0.2,156,12
Virginia Tech,2007,1439,1985,2021,Z05,37,Virginia Tech,ACC,22-12,17.38,112.4,54,95,31,63.7,252,-0.004,187,9.85,16,109.9,13,100.1,26,0.79,135,5
Marquette,2007,1266,1985,2021,W08,38,Marquette,BE,24-10,17.18,111.8,62,94.6,30,67.6,93,0.009,156,7.59,50,108.3,46,100.7,51,-4.27,256,8
USC,2007,1425,1985,2021,W05,39,USC,P10,25-12,16.86,111,72,94.2,26,67.1,111,0.016,143,8.26,39,108.3,51,100,23,-6.62,307,5
UNLV,2007,1424,1985,2021,Y07,41,UNLV,MWC,30-7,16.83,112.6,51,95.8,40,65.2,190,0.098,14,5.61,75,109.1,32,103.5,123,2.29,93,7
Arkansas,2007,1116,1985,2021,W12,42,Arkansas,SEC,21-14,16.62,110.6,77,93.9,25,66.1,156,-0.021,233,10.1,13,110.3,10,100.2,32,1.28,119,12
Vanderbilt,2007,1435,1985,2021,W06,43,Vanderbilt,SEC,22-12,16.23,115.7,24,99.4,79,66.6,126,0.008,160,9.34,26,109.5,22,100.2,30,-2.74,220,6
Boston College,2007,1130,1985,2021,W07,44,Boston College,ACC,21-12,16.18,117.3,13,101.1,107,64.3,226,0.026,118,10.36,11,110.7,5,100.4,38,-2.41,210,7
BYU,2007,1140,1985,2021,X08,46,BYU,MWC,25-9,16.11,116.7,17,100.6,97,67.6,95,0.001,176,4.24,88,106.8,86,102.5,100,-0.3,158,8
Nevada,2007,1305,1985,2021,X07,47,Nevada,WAC,29-5,16.09,117.2,14,101.2,109,66.3,139,0.03,105,1.98,121,104.2,161,102.2,94,1.53,110,7
Virginia,2007,1438,1985,2021,X04,48,Virginia,ACC,21-11,15.43,114.1,35,98.7,71,67.9,83,0.006,164,8.27,38,109.2,28,100.9,58,-4.35,259,4
Gonzaga,2007,1211,1985,2021,Z10,49,Gonzaga,WCC,23-11,15.31,115.3,30,100,87,67.1,113,-0.032,262,4.15,89,106.7,89,102.5,99,9.52,19,10
Winthrop,2007,1457,1987,2021,Y11,51,Winthrop,BSth,29-5,14.81,112.9,48,98,60,61.9,301,0.055,51,-2.71,191,103.1,197,105.8,199,15.06,3,11
VCU,2007,1433,1985,2021,Z11,52,VCU,CAA,28-7,14.55,116.6,18,102,124,65.5,178,0.002,174,0.2,150,104.2,162,104,143,0.25,149,11
Davidson,2007,1172,1985,2021,Y13,61,Davidson,SC,29-5,13.32,111.8,61,98.5,66,71.9,14,0.067,33,-1.7,182,103.2,193,104.9,168,4.64,55,13
Old Dominion,2007,1330,1985,2021,Y12,64,Old Dominion,CAA,24-9,12.7,108.6,99,95.9,41,65.8,161,0.013,153,0.84,141,105.6,119,104.8,165,0.64,140,12
Stanford,2007,1390,1985,2021,X11,66,Stanford,P10,18-13,12.37,109.7,86,97.3,52,65.9,160,0.028,112,9.5,23,109.2,29,99.7,15,-0.33,159,11
Texas Tech,2007,1403,1985,2021,W10,71,Texas Tech,B12,21-13,10.98,112.2,57,101.3,110,64.9,205,0.056,47,7.79,46,108.3,48,100.5,45,2.29,94,10
Miami OH,2007,1275,1985,2021,Y14,87,Miami OH,MAC,18-15,8.38,105.7,141,97.4,53,58.1,330,-0.024,240,4.09,90,106.2,103,102.1,89,6.44,36,14
Oral Roberts,2007,1331,1985,2021,W14,88,Oral Roberts,MCon,23-11,8.36,107.1,123,98.7,74,66.5,130,-0.007,194,-0.93,170,104.9,139,105.8,201,4.23,65,14
TAM C. Christi,2007,1394,2003,2021,Y15,91,Texas A&M Corpus Chris,Slnd,26-7,7.76,114.1,34,106.4,200,68.1,78,0.057,45,-5.12,248,100.8,278,105.9,208,2.12,97,15
Penn,2007,1335,1985,2020,X14,92,Penn,Ivy,22-9,7.69,109.8,85,102.1,125,67.9,82,0.047,68,-2.74,192,102.5,213,105.3,178,1.14,127,14
Holy Cross,2007,1221,1985,2021,Z13,93,Holy Cross,Pat,25-9,7.4,103,186,95.6,39,62.5,293,0.025,119,-3.7,213,101.5,254,105.2,175,0.98,130,13
G Washington,2007,1203,1985,2021,W11,95,George Washington,A10,23-9,7.28,105,153,97.7,58,66.9,117,0.089,20,-0.57,163,104.7,146,105.3,180,-5.16,283,11
New Mexico St,2007,1308,1985,2021,W13,96,New Mexico St.,WAC,25-9,7.27,108.3,101,101.1,105,69.7,39,0.035,87,-0.3,158,104.2,159,104.5,161,-3.75,247,13
Wright St,2007,1460,1988,2021,Z14,100,Wright St.,Horz,23-10,6.66,104.5,165,97.8,59,63,281,0.137,2,0.23,148,105.7,118,105.5,187,-2.57,215,14
Long Beach St,2007,1253,1985,2021,X12,113,Long Beach St.,BW,24-8,5.44,112.2,58,106.8,210,71,22,0.11,5,-3.34,203,102,236,105.4,182,-2.96,228,12
Belmont,2007,1125,2000,2021,W15,121,Belmont,ASun,23-10,4.38,106.6,132,102.2,129,66.1,155,0.022,125,-6.74,286,100,304,106.8,246,2.22,96,15
SUNY Albany,2007,1107,2000,2021,X13,138,Albany,AE,23-10,2.25,107.4,113,105.2,175,63.7,250,0.109,6,-3.47,206,102.4,217,105.9,207,0.94,131,13
North Texas,2007,1317,1985,2021,X15,162,North Texas,SB,23-11,-0.98,103,187,104,154,69.1,55,0.034,92,-6.4,282,102.2,224,108.6,319,-2.88,225,15
Central Conn,2007,1148,1987,2021,X16,177,Central Connecticut,NEC,22-12,-2.24,104.1,169,106.3,198,63.3,266,0.06,42,-8.44,314,100.4,294,108.8,324,-5.1,281,16
Weber St,2007,1451,1985,2021,Z15,184,Weber St.,BSky,20-12,-2.71,102.1,203,104.8,168,65.2,191,0.098,13,-3.46,205,104.8,143,108.3,314,1.83,104,15
Niagara,2007,1310,1985,2021,Z16b,186,Niagara,MAAC,23-12,-2.76,107.2,119,110,271,68.3,72,0.118,3,-6.17,276,101.3,260,107.5,278,-5.19,284,16
Jackson St,2007,1238,1985,2021,Y16,251,Jackson St.,SWAC,21-14,-9.48,100.2,230,109.7,262,69.7,40,0.14,1,-10.16,321,95.6,331,105.8,200,7.09,32,16
Florida A&M,2007,1197,1985,2021,Z16a,254,Florida A&M,MEAC,21-14,-9.57,100.6,225,110.2,276,67.6,96,0.104,8,-10.39,323,97.7,322,108,312,10.61,13,16
E Kentucky,2007,1184,1985,2021,W16,302,East Carolina,CUSA,24-Jun,-15.71,92.8,313,108.5,241,63.6,255,-0.022,235,1.74,125,104.2,165,102.4,98,-0.28,157,
Kansas,2008,1242,1985,2021,X01,1,Kansas,B12,37-3,35.21,120.9,2,85.7,1,66.8,109,0.012,138,9.57,14,109.2,8,99.6,35,-1.41,184,1
Memphis,2008,1272,1985,2021,Y01,2,Memphis,CUSA,38-2,31.51,118,6,86.5,2,68.1,76,0.012,141,5.83,72,107,62,101.1,79,5.45,39,1
North Carolina,2008,1314,1985,2021,W01,3,North Carolina,ACC,36-3,30.22,122.1,1,91.9,14,72.5,9,0.05,55,10.18,7,108,36,97.8,2,1.5,107,1
UCLA,2008,1417,1985,2021,Z01,4,UCLA,P10,35-4,29.94,118,7,88.1,5,64.1,209,0.047,62,10.03,9,109.3,6,99.3,24,-1.63,196,1
Wisconsin,2008,1458,1985,2021,X03,5,Wisconsin,B10,31-5,26.68,113.5,37,86.8,3,61.1,306,0.043,69,7.35,51,107.1,61,99.8,40,-0.19,154,3
Duke,2008,1181,1985,2021,Z02,6,Duke,ACC,28-6,26.4,116.3,13,89.9,7,71.5,13,-0.006,189,10.06,8,109.1,9,99,18,3.36,73,2
Georgetown,2008,1207,1985,2021,X02,7,Georgetown,BE,28-6,25.56,115.2,21,89.7,6,60.5,316,0.029,99,8.48,35,108.2,31,99.8,39,-2.72,235,2
Louisville,2008,1257,1985,2021,W03,8,Louisville,BE,27-9,25.41,113.1,40,87.7,4,65.3,160,-0.057,300,9.34,21,108.4,28,99,17,0.79,126,3
Texas,2008,1400,1985,2021,Y02,9,Texas,B12,31-7,25.09,120.6,3,95.5,42,63.9,222,0.044,67,10.37,6,108.4,29,98,3,0.04,146,2
Washington St,2008,1450,1985,2021,W04,10,Washington St.,P10,26-9,24.32,115.1,23,90.8,9,58.3,334,-0.004,179,8.99,29,109,12,100,52,-6.51,309,4
Davidson,2008,1172,1985,2021,X10,11,Davidson,SC,29-7,23.61,117,9,93.4,24,66.2,133,-0.036,260,3.36,102,105.2,105,101.8,97,14.93,1,10
Stanford,2008,1390,1985,2021,Y03,12,Stanford,P10,28-8,22.75,113.6,36,90.9,10,63.4,248,0.04,78,9.32,22,109.1,11,99.7,37,-6.32,306,3
Tennessee,2008,1397,1985,2021,W02,13,Tennessee,SEC,31-5,22.17,116.2,15,94,28,70.7,20,0.11,4,9.58,13,109.4,4,99.8,41,7.64,24,2
Marquette,2008,1266,1985,2021,Y06,14,Marquette,BE,25-10,22.16,115.3,20,93.1,21,66.6,118,-0.027,240,8.62,32,107.9,41,99.3,26,-6.37,307,6
Xavier,2008,1462,1985,2021,Z03,15,Xavier,A10,30-7,22.05,117.3,8,95.2,39,63.8,225,0.054,49,6.94,53,108.1,34,101.2,80,3.5,69,3
Clemson,2008,1155,1985,2021,X05,16,Clemson,ACC,24-10,22.03,114,35,91.9,15,68,78,-0.044,280,9.53,15,109.3,5,99.8,42,0.31,137,5
Drake,2008,1179,1985,2021,Z05,17,Drake,MVC,28-5,21.46,120,4,98.5,76,62.9,262,0.011,145,4.89,88,105.5,101,100.6,65,0.11,142,5
West Virginia,2008,1452,1985,2021,Z07,18,West Virginia,BE,26-11,21.29,114.6,27,93.3,23,63.8,228,-0.019,217,9,28,108.5,24,99.5,31,-1.98,210,7
Michigan St,2008,1277,1985,2021,Y05,19,Michigan St.,B10,27-9,21.15,115.8,17,94.7,33,63.3,253,0.032,94,8.71,31,108.2,32,99.5,32,0.59,128,5
Butler,2008,1139,1985,2021,W07,20,Butler,Horz,30-4,19.97,116.2,14,96.2,47,59.5,328,0.002,161,2.79,110,104.3,133,101.5,90,5.43,40,7
Texas A&M,2008,1401,1985,2021,Z09,21,Texas A&M,B12,25-11,19.93,112.3,46,92.3,17,61.8,295,0.004,159,8.28,37,107.4,51,99.1,20,-5.13,291,9
Pittsburgh,2008,1338,1985,2021,Y04,22,Pittsburgh,BE,27-10,19.91,116.5,10,96.6,54,63.9,221,0.027,104,9.52,16,107.8,44,98.3,5,-1.69,197,4
Arizona,2008,1112,1985,2021,Z10,23,Arizona,P10,19-15,19.14,116.4,12,97.3,63,63.5,239,-0.079,326,12.72,1,110.3,1,97.6,1,8.75,12,10
Notre Dame,2008,1323,1985,2021,W05,24,Notre Dame,BE,25-8,19.07,114.6,26,95.6,43,69.5,35,0.042,72,6.88,54,107.5,48,100.6,66,-7.02,314,5
Gonzaga,2008,1211,1985,2021,X07,25,Gonzaga,WCC,25-8,19.05,114.5,30,95.5,41,65.9,140,-0.029,245,2.57,112,104,147,101.5,89,7.71,22,7
Kansas St,2008,1243,1985,2021,X11,26,Kansas St.,B12,21-12,18.9,114.2,34,95.3,40,69.7,33,-0.049,290,9.09,27,108,38,98.9,14,-2.73,237,11
Connecticut,2008,1163,1985,2021,Z04,27,Connecticut,BE,24-9,18.9,115.2,22,96.3,49,67.1,101,-0.001,170,7.67,45,107.7,45,100,49,-1.27,179,4
USC,2008,1425,1985,2021,X06,28,USC,P10,21-12,18.67,110.5,59,91.9,13,65.2,166,-0.005,184,11.18,3,109.7,2,98.5,8,0.4,134,6
Indiana,2008,1231,1985,2021,W08,29,Indiana,B10,25-8,18.43,114.6,29,96.1,44,66.2,134,0.037,85,6.28,64,106.6,75,100.3,59,-2.3,219,8
Purdue,2008,1345,1985,2021,Z06,30,Purdue,B10,25-9,18.3,110.5,60,92.2,16,66.9,107,-0.025,234,6.41,62,106.2,86,99.7,36,-3.61,265,6
Mississippi St,2008,1280,1985,2021,Y08,33,Mississippi St.,SEC,23-11,16.77,108.2,92,91.5,11,66.6,117,-0.043,278,6.22,66,108.1,35,101.8,98,-1.48,187,8
BYU,2008,1140,1985,2021,Z08,35,BYU,MWC,27-8,15.76,107.4,112,91.7,12,67.8,83,0.027,106,1.47,129,104.2,139,102.7,139,-4.23,276,8
Oregon,2008,1332,1985,2021,Y09,36,Oregon,P10,18-14,15.66,118.8,5,103.1,160,65.8,144,-0.035,259,10.56,5,108.9,14,98.4,6,0.11,143,9
Miami FL,2008,1274,1986,2021,Y07,37,Miami FL,ACC,23-11,15.38,112.5,44,97.1,61,65.8,145,-0.003,176,7.78,44,106.7,70,98.9,16,-5.55,296,7
Arkansas,2008,1116,1985,2021,W09,40,Arkansas,SEC,23-12,15.19,111.4,53,96.2,48,66.5,119,0.008,153,7.19,52,108.4,25,101.2,82,-0.61,164,9
Baylor,2008,1124,1985,2021,Z11,41,Baylor,B12,21-11,14.82,115.7,19,100.9,113,70.1,24,-0.028,242,7.58,46,106.9,64,99.3,25,-4.83,286,11
St Mary's CA,2008,1388,1985,2021,Y10,42,Saint Mary's,WCC,25-7,14.66,109.2,76,94.6,32,66.4,124,0.03,96,0.11,151,103.4,174,103.3,153,2.34,88,10
WKU,2008,1443,1985,2021,Z12,43,Western Kentucky,SB,29-7,14.6,111.9,48,97.3,62,68.2,69,-0.021,219,-0.85,172,103.3,176,104.2,174,1.69,100,12
Oklahoma,2008,1328,1985,2021,W06,44,Oklahoma,B12,23-12,14.47,109.5,74,95.1,37,63.1,256,0.077,23,9.45,18,108.3,30,98.9,15,-0.55,161,6
St Joseph's PA,2008,1386,1985,2021,W11,45,Saint Joseph's,A10,21-13,14.32,115.1,25,100.8,110,64,216,-0.069,318,5.81,73,106.9,63,101.1,78,1.34,114,11
Villanova,2008,1437,1985,2021,X12,46,Villanova,BE,22-13,14.21,109.2,75,95,35,68.1,74,0.037,84,9.14,25,108.9,15,99.8,38,-2.4,222,12
UNLV,2008,1424,1985,2021,X08,48,UNLV,MWC,27-8,13.71,110.2,67,96.5,51,63.9,223,0.081,21,3.1,108,104.3,131,101.2,81,-0.86,171,8
Kent,2008,1245,1985,2021,X09,55,Kent St.,MAC,28-7,13.04,107.8,105,94.8,34,65.1,171,0.075,26,1.03,140,103.5,166,102.5,127,-0.11,151,9
Vanderbilt,2008,1435,1985,2021,X04,56,Vanderbilt,SEC,26-8,12.65,112.3,47,99.6,88,68.2,67,0.11,5,5.2,86,107.4,49,102.2,118,-1.7,198,4
Temple,2008,1396,1985,2021,Y12,57,Temple,A10,21-13,12.37,112.8,41,100.4,102,63.6,233,-0.018,213,6.08,70,107.4,53,101.3,85,3.73,64,12
South Alabama,2008,1375,1985,2021,W10,65,South Alabama,SB,26-7,11.8,112.6,42,100.8,111,64.8,178,-0.002,174,-2.07,194,103.1,182,105.2,219,0.9,121,10
Oral Roberts,2008,1331,1985,2021,Y13,77,Oral Roberts,Sum,24-9,10.27,104.7,153,94.5,31,63.6,236,0.032,95,-0.01,156,105.4,103,105.4,228,8.75,11,13
Kentucky,2008,1246,1985,2021,Y11,78,Kentucky,SEC,18-13,10.01,107.8,104,97.8,67,62.4,282,0.01,147,6.74,57,107.4,50,100.7,67,-3.13,249,11
George Mason,2008,1206,1985,2021,W12,80,George Mason,CAA,23-11,9.68,110.7,58,101,117,61.6,300,-0.01,196,-0.57,166,102.6,203,103.2,150,2.28,89,12
CS Fullerton,2008,1168,1985,2021,X14,88,Cal St. Fullerton,BW,24-9,8.47,112.3,45,103.9,176,71.6,12,-0.01,195,-3.95,236,101.5,243,105.5,230,-3.01,244,14
Georgia,2008,1208,1985,2021,Z14,91,Georgia,SEC,17-17,8.08,104.3,166,96.2,45,64.7,183,-0.032,253,7.55,47,108.5,22,101,75,-4.1,274,14
Siena,2008,1373,1985,2021,X13,93,Siena,MAAC,23-11,7.99,108.6,86,100.7,107,67.6,86,0.036,87,-1.41,186,104.1,144,105.5,232,3.69,65,13
Winthrop,2008,1457,1987,2021,W13,104,Winthrop,BSth,22-12,6.38,99.5,232,93.1,20,61.6,298,0,167,-1.01,175,105.1,106,106.1,267,7.81,19,13
Portland St,2008,1340,1999,2021,X16,112,Portland St.,BSky,23-10,5.4,108.6,87,103.2,161,66.3,126,0.062,41,-3.5,232,102.7,202,106.2,271,3.95,60,16
San Diego,2008,1360,1985,2021,Z13,120,San Diego,WCC,22-14,4.64,101.6,198,97,59,63,260,0.045,65,1.43,131,104.3,125,102.9,144,2.61,80,13
Cornell,2008,1165,1985,2020,Y14,123,Cornell,Ivy,22-6,4.41,110.1,69,105.7,206,67.9,80,0.086,15,-6.93,298,99.1,314,106,257,-3.59,264,14
Boise St,2008,1129,1985,2021,W14,126,Boise St.,WAC,25-9,3.89,108.7,84,104.8,191,70.7,19,0.085,17,-2.64,212,103.3,177,105.9,252,-3.36,256,14
UMBC,2008,1420,1987,2021,X15,127,UMBC,AE,24-9,3.86,113.2,39,109.3,282,63.7,230,0.057,46,-4.31,241,100.7,274,105,207,2.68,79,15
Belmont,2008,1125,2000,2021,Z15,129,Belmont,ASun,25-9,3.53,109.7,71,106.2,216,68.6,53,0.075,25,-5.21,262,100.9,265,106.1,268,0.51,133,15
American Univ,2008,1110,1985,2021,W15,150,American,Pat,21-12,1.67,107.9,102,106.3,218,60.4,319,0.045,66,-4.23,240,99.9,295,104.1,173,-2.17,216,15
Austin Peay,2008,1122,1985,2021,Y15,168,Austin Peay,OVC,24-11,-0.3,104.6,159,104.9,195,65.5,155,0.086,16,-6.35,291,102.5,204,108.8,333,5.19,42,15
Mt St Mary's,2008,1291,1989,2021,W16b,173,Mount St. Mary's,NEC,19-15,-1.32,99.3,233,100.6,106,66.1,138,0.014,135,-5.35,265,101.6,241,106.9,295,-0.05,148,16
UT Arlington,2008,1426,1985,2021,Y16,180,UT Arlington,Slnd,21-12,-2.31,101.3,202,103.6,170,68.6,57,0.045,64,-4.81,253,99.5,304,104.3,182,-5.9,301,16
Coppin St,2008,1164,1986,2021,W16a,298,Coppin St.,MEAC,16-21,-14.41,92.4,321,106.8,230,62.9,261,0.065,36,-7.38,306,98.1,321,105.5,229,7.87,18,16
MS Valley St,2008,1290,1985,2021,Z16,306,Mississippi Valley St.,SWAC,17-16,-15.21,91.9,323,107.1,236,63,259,0.115,3,-11,332,96.7,331,107.7,315,13.04,4,16
North Carolina,2009,1314,1985,2021,X01,1,North Carolina,ACC,34-4,31.14,123.2,1,92.1,18,72.9,6,-0.011,195,9.91,24,108.2,27,98.3,15,1.06,126,1
Connecticut,2009,1163,1985,2021,Z01,2,Connecticut,BE,31-5,29.25,116,17,86.8,3,67.1,96,0.024,107,10.37,13,109,11,98.6,24,-1.68,200,1
Pittsburgh,2009,1338,1985,2021,W01,3,Pittsburgh,BE,31-5,28.96,121.2,2,92.3,19,65.2,174,-0.012,201,10.11,19,108.1,28,98,12,0.79,132,1
Memphis,2009,1272,1985,2021,Z02,4,Memphis,CUSA,33-4,28.67,112.8,37,84.2,1,65.9,145,-0.009,190,4.73,77,105.5,73,100.8,78,4.19,67,2
Louisville,2009,1257,1985,2021,Y01,5,Louisville,BE,31-6,26.06,111.2,49,85.2,2,66.9,103,0.068,25,9.57,27,108.6,17,99,37,-0.19,161,1
Missouri,2009,1281,1985,2021,Z03,6,Missouri,B12,31-7,24.81,116.6,13,91.8,17,70.9,15,0.031,87,7.96,44,106.4,57,98.4,20,-3.76,251,3
Oklahoma,2009,1328,1985,2021,X02,7,Oklahoma,B12,30-6,24.59,118.3,4,93.7,33,66.6,109,0.018,120,9.49,29,108.3,25,98.9,31,0.46,143,2
Gonzaga,2009,1211,1985,2021,X04,8,Gonzaga,WCC,28-6,24.51,117.5,8,93,24,67.1,97,0.003,156,4.63,78,105.1,89,100.5,74,10.61,13,4
Michigan St,2009,1277,1985,2021,Y02,9,Michigan St.,B10,31-7,24.37,114.3,26,89.9,6,66.5,112,0.091,11,12.33,2,109.4,5,97.1,2,5.81,42,2
Duke,2009,1181,1985,2021,W02,10,Duke,ACC,30-7,24.31,117.5,7,93.2,28,66.3,127,0.053,47,10.23,15,108.5,19,98.3,17,3.18,84,2
West Virginia,2009,1452,1985,2021,Y06,11,West Virginia,BE,23-12,24.21,115.1,19,90.9,13,63.7,240,-0.067,315,10.95,8,108.9,12,98,10,2.11,107,6
UCLA,2009,1417,1985,2021,W06,12,UCLA,P10,26-9,23.93,119.5,3,95.6,44,65.3,171,-0.03,251,8.42,39,107.6,39,99.1,40,-3.43,243,6
Villanova,2009,1437,1985,2021,W03,13,Villanova,BE,30-8,23.89,114.4,24,90.5,10,68.3,62,0.021,116,9.99,22,108.9,14,98.9,32,-5.37,286,3
Kansas,2009,1242,1985,2021,Y03,14,Kansas,B12,27-8,23.83,114.5,23,90.7,11,67.2,93,-0.013,202,8.83,37,107.9,32,99.1,39,1.55,117,3
Arizona St,2009,1113,1985,2021,X06,15,Arizona St.,P10,25-10,23.03,118.2,5,95.2,42,59.1,334,-0.018,223,10.14,18,108.9,13,98.8,29,-2.04,207,6
Syracuse,2009,1393,1985,2021,X03,16,Syracuse,BE,28-10,22.21,117,10,94.8,39,69.7,29,0.024,106,11.46,4,108.4,21,97,1,0.77,133,3
Washington,2009,1449,1985,2021,Z04,17,Washington,P10,26-9,22.09,113.1,34,91,14,72.2,10,-0.005,180,10.18,16,109.4,4,99.2,44,0.09,151,4
Purdue,2009,1345,1985,2021,Z05,18,Purdue,B10,27-10,21.84,110.5,60,88.7,5,65.9,144,-0.012,199,8.94,36,107.2,46,98.3,16,-5.45,289,5
Marquette,2009,1266,1985,2021,Z06,19,Marquette,BE,25-10,21.02,117.1,9,96.1,52,67.5,78,-0.014,203,8.22,41,107.8,34,99.5,49,-4.95,279,6
Xavier,2009,1462,1985,2021,W04,20,Xavier,A10,27-8,20.24,111,53,90.8,12,65.8,149,-0.008,185,5.81,64,105.8,68,100,62,7.97,24,4
BYU,2009,1140,1985,2021,Z08,21,BYU,MWC,25-8,20.1,114,28,93.9,35,69,41,-0.046,285,4.57,79,105.4,76,100.9,82,0.39,145,8
Texas,2009,1400,1985,2021,W07,22,Texas,B12,23-12,19.65,112.2,42,92.5,20,65.4,160,-0.048,288,10.16,17,109.2,8,99,36,2.01,108,7
Clemson,2009,1155,1985,2021,X07,23,Clemson,ACC,23-9,19.62,116.4,16,96.7,61,67.9,67,-0.024,236,6.19,60,105.4,77,99.2,43,-4.45,266,7
Wake Forest,2009,1448,1985,2021,Y04,24,Wake Forest,ACC,24-7,18.88,111.6,46,92.7,22,72.8,7,0.051,52,7.66,51,107.5,41,99.9,55,-4.35,262,4
Illinois,2009,1228,1985,2021,X05,25,Illinois,B10,24-10,18.72,106.8,104,88.1,4,62.8,271,0.001,164,7.96,45,106.5,55,98.6,23,-3.36,239,5
Oklahoma St,2009,1329,1985,2021,W08,26,Oklahoma St.,B12,23-12,18.33,116.4,15,98.1,73,69.3,36,-0.003,169,10.46,12,108.8,15,98.4,19,-0.28,165,8
USC,2009,1425,1985,2021,Y10,27,USC,P10,22-13,18.26,110,65,91.8,16,63.7,242,-0.032,260,10.81,9,110.5,2,99.7,51,0.74,134,10
Utah,2009,1428,1985,2021,Y05,28,Utah,MWC,24-10,17.8,110.8,56,92.9,23,65,184,0.013,136,7.29,53,107.9,33,100.6,75,6.96,34,5
Wisconsin,2009,1458,1985,2021,W12,29,Wisconsin,B10,20-13,17.62,113.3,31,95.7,46,59.1,333,-0.052,299,9.51,28,107.3,44,97.8,9,1.32,121,12
